a0,a1,r,c0,c1,expected_value
1548398b,874231c4,5ee17ffb,4ba94670,d9a34e3f,920a084f
f353913b,a299fbc2,d76eea73,243d7b48,75f711b1,51ca6af9
6ac39a30,bfd93af7,47e442a2,2d27d892,f83d7855,d51aa0c7
35e0a901,fe356e64,b855bed6,8db517d7,4660d0b2,cbd5c765
cb8305df,6613e285,95e97ed4,5e6a7b0b,f3fa9c51,ad90e75a
f05659fc,bd092dae,4e5b9374,be0dca88,f352beda,4d5f7452
958f71ce,21ef2a53,86950e7a,131a7fb4,a77a2429,b4605b9d
1d66a8df,f3d3ffb2,27b4a8ca,3ad20015,d4675778,eeb5576d
814436b1,0009dc70,2dcbdb2f,ac8fed9e,2dc2075f,814deac1
31de618b,52e81112,bd6b563c,8cb537b7,ef83472e,63367099
768770b6,b6b9ad3b,8d973760,fb1047d6,3b2e9a5b,c03edd8d
ea537be9,f0bbf9b8,a456b4e6,4e05cf0f,54ed4d5e,1ae88251
635a3b46,6d15f37b,70383985,136202c3,1d2dcafe,0e4fc83d
b720ed7a,8e85521e,ab0729b4,1c27c4ce,25827baa,39a5bf64
85348da9,cd611419,b38848f3,36bcc55a,7ee95cea,485599b0
0df17d14,75002a32,1410a510,19e1d804,61108f22,78f15726
f0162557,94958e7f,2ff71a1d,dfe13f4a,bb629462,6483ab28
c9ca6317,221b5548,825f8d83,4b95ee94,a044d8cb,ebd1365f
256e3903,9e8d92ca,ab482512,8e261c11,35c5b7d8,bbe3abc9
2733b577,5beff5c1,d6a80b9f,f19bbee8,8d47fe5e,7cdc40b6
61a3ffe5,591e99bd,1836ad3d,799552d8,41283480,38bd6658
99742642,7bc47bcf,d6b0f498,4fc4d2da,ad748f57,e2b05d8d
4dac9a8d,c7d65ac6,678abf7a,2a2625f7,a05ce5bc,8a7ac04b
9d1fda53,c2a4e792,d8dc6c53,45c3b600,1a788bc1,5fbb3dc1
36ad3cd5,a6f86f15,d0ac7f17,e60143c2,76541002,905553c0
aa6ef6e8,0907794a,4833b79c,e25d4174,4134ced6,a3698fa2
25121ec4,7301a8ae,80b719be,a5a5077a,f3b6b110,5613b66a
8baca783,97781a29,b34afe58,38e659db,2432e471,1cd4bdaa
78b7b15d,b6a8b751,7046bb7c,08f10a21,c6ee0c2d,ce1f060c
06799820,7027b703,a56e38b4,a317a094,d5498fb7,765e2f23
a074849b,b84fc52e,512ebc96,f15a380d,e96179b8,183b41b5
2c22d2f1,701d3a84,50c9c8ff,7ceb1a0e,20d4f27b,5c3fe875
5e0707c5,1aee5d4a,a99574a7,f7927362,b37b29ed,44e95a8f
865b0e45,57587e9d,e0a1d41f,66fada5a,b7f9aa82,d10370d8
bd469299,bf97d5f7,44dcfa09,f99a6890,fb4b2ffe,02d1476e
0e0df05c,06b245f6,8fb3d2b2,81be22ee,89019744,08bfb5aa
6cc5c76f,7da10b64,e90d2e78,85c8e917,94ac251c,1164cc0b
8747bf42,c0ee8a9a,028f4777,85c8f835,c261cded,47a935d8
b6fcbc0f,0e2e993b,e5513c59,53ad8056,eb7fa562,b8d22534
86c9bb86,2341f77b,79f0db2b,ff3960ad,5ab12c50,a5884cfd
fc604331,e21c2362,cba04b16,37c00827,29bc6874,1e7c6053
800c209e,bb30676a,b3dd8a0f,33d1aa91,08eded65,3b3c47f4
d415809c,469a646a,3119db92,e50c5b0e,7783bff8,928fe4f6
4de505f8,978ad1b1,71664a86,3c834f7e,e6ec9b37,da6fd449
da5b3dbb,aabaf175,ca243a79,107f07c2,609ecb0c,70e1ccce
31c5de78,7f1dd387,cfdb135c,fe1ecd24,b0c6c0db,4ed80dff
a1293a7e,712e6140,e62757b9,470e6dc7,970936f9,d0075b3e
6217c868,0463e2cf,7a1062a3,1807aacb,7e73806c,66742aa7
273d7b57,fe0c65ea,0f092c36,28345761,f10549dc,d9311ebd
b136a53d,144a562a,4cd64a25,fde0ef18,589c1c0f,a57cf317
6ee2dab7,3a66f79b,3f0ee733,51ec3d84,056810a8,54842d2c
dccb1a11,ac09a8af,45f94619,99325c08,e9f0eeb6,70c2b2be
db96eb81,cc7384ef,335c6e2f,e8ca85ae,ff2feac0,17e56f6e
e0508208,63e0c914,c05e5e87,200edc8f,a3be9793,83b04b1c
04700019,7f6c2f89,1f77db0f,1b07db16,601bf486,7b1c2f90
df52c092,25bd4075,9aaa5dbf,45f89d2d,bf171dca,faef80e7
95b9f926,54f824b1,1e1abafc,8ba343da,4ae29e4d,c141dd97
5abcd8bb,6b09dc66,14f75fac,4e4b8717,7ffe83ca,31b504dd
963e5888,8aa833ad,3496a1ce,a2a8f946,be3e9263,1c966b25
3264e7a4,dee8c061,f9832b9a,cbe7cc3e,276bebfb,ec8c27c5
2fbadb1b,a0ee7b11,dc161267,f3acc97c,7cf86976,8f54a00a
6a85c9c7,76d9a5e2,705df0ae,1ad83969,0684554c,1c5c6c25
