PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,93020500,mv,ARITHMETIC,"t0, a0",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x46405a7,0x42403c1,0x45e51fc1,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xd410651,0x37,0x40c40676,0x86407e6
0xc98,13830500,mv,ARITHMETIC,"t1, a1",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x3a88a4d5,0x42403c1,0x45e51fc1,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xd410651,0x37,0x40c40676,0x86407e6
0xc9c,93030600,mv,ARITHMETIC,"t2, a2",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x3a88a4d5,0xbb8e9928,0x45e51fc1,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xd410651,0x37,0x40c40676,0x86407e6
0xca0,138e0600,mv,ARITHMETIC,"t3, a3",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xd410651,0x37,0x40c40676,0x86407e6
0xca4,930e0700,mv,ARITHMETIC,"t4, a4",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xace4bd74,0x37,0x40c40676,0x86407e6
0xca8,33ff7200,and,LOGICAL,"t5, t0, t2",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xace4bd74,0x37,0x40c40676,0x86407e6
0xcac,b37fc301,and,LOGICAL,"t6, t1, t3",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xace4bd74,0x37,0xa880054,0x86407e6
0xcb0,b3f2c201,and,LOGICAL,"t0, t0, t3",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xace4bd74,0x37,0xa880054,0xa8849920
0xcb4,33737300,and,LOGICAL,"t1, t1, t2",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x2880a454,0xbb8e9928,0xcbcc497c,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xace4bd74,0x37,0xa880054,0xa8849920
0xcb8,b3c26200,xor,LOGICAL,"t0, t0, t1",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x2880a454,0x8b8c0928,0xcbcc497c,0x0,0x0,0x3a88a4d5,0xbb8e9928,0xcbcc497c,0xace4bd74,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xace4bd74,0x37,0xa880054,0xa8849920
