a0,a1,b0,b1,r,c0,c1,expected_and
44459e24,8a3587bd,2ee9fa44,82379a7a,00000055,0e601855,8230184d,8c500018
3798118e,e661a901,6c6e5c2f,957de07e,00000055,4068185a,9179a05b,d111b801
71c583c1,e1f87618,d204e9d4,2d306685,00000055,9004e185,003064d4,90348551
2f4bca35,b8b94d1f,fa351463,1d6e7b57,00000055,92300477,15620357,87520720
2df686b0,be235808,c0fde5ac,47ff6088,00000055,80d5c4fd,03d540dd,83008420
e1387903,db0ccf4a,2a74643a,d842a44f,00000055,2a34245d,1800a41c,32348041
f5c64f46,a0fd6c40,ccb7eb82,8330237a,00000055,44332357,01302357,45030000
5c3afb5c,7e727dba,69f3d3e3,12ebf93c,00000055,204082b7,02488071,220802c6
b3e23cd5,e4d8df26,ab6afb3a,52f80331,00000055,032ae367,52380364,5112e003
ab858e2f,2bf0471d,0f4a596e,ce091255,00000055,00404977,80010045,80414932
60984263,abf857f2,1e9e9eb1,cef75c7c,00000055,0a0014c4,ca601445,c0600081
500cff47,8cb31f31,05f3993e,d970beeb,00000055,04b38063,d830a037,dc832054
f0d5e90e,1540159b,bb3f04c9,90881fff,00000055,a11504d4,80801cc0,21951814
cef9794c,76db4775,708eee28,afc9acc2,00000055,30022e7d,a8002c55,98020228
616d8562,0dca22c2,5bbc385a,00cfc600,00000055,48a42055,00878655,4823a600
d02ae405,5fb1e739,e3786f25,66e7841d,00000055,83180371,06830049,859b0338
e24043ec,47b62253,cc0872dc,ed3c5abf,00000055,840060c9,a53440ea,21342023
2760709c,b3bebad4,1134e478,752f49b3,00000055,1014c01d,140e4855,041a8848
3a8cb48d,085316f8,7db5c346,7bb8f4fd,00000055,30958211,3298a020,020d2231
1309183d,63585bab,f9a14952,00b54a40,00000055,70014147,00114255,70100312
77de4f44,deaac412,ea3aed1c,6f7a63bc,00000055,a8308941,29700341,81408a00
2d7c607b,e607cb82,71862b76,0eb5aab7,00000055,41022b25,0a31aae4,4b3381c1
7ce059a5,1659f36f,619153ee,745ebace,00000055,6091029f,6018aa9f,0089a800
76a95231,546d5141,96f1ce41,b11d6acf,00000055,02c00215,20040215,22c40000
5d7d2639,19f1ce66,6d6cb922,abbabc46,00000055,440ca857,0088a813,44840044
18cb8db4,a03df47b,59ab8789,8adfe01e,00000055,18a201dc,88d6605b,90746187
95b37831,90c92744,b54ad11d,3064c033,00000055,054a5140,00604064,052a1124
c7f0357f,209c6d9c,73b3d632,e2c9bc43,00000055,63205077,e2481816,81684861
26f5df65,b5808aee,9c59d87c,fae86438,00000055,9051505d,9260445d,02311400
11051ab7,fb67bb49,d26942b3,6021938b,00000055,c26000e7,602081df,a2408138
ae6cfb1e,025606df,224ffdf8,40388e33,00000055,200afd95,00388c54,203271c1
a3b73b09,0304f788,9e7c3b24,b0d0c80e,00000055,80300855,a090c855,20a0c000
d6479025,586f58d6,78bcce29,c288c81f,00000055,0828c874,8208c846,8a200032
db2dd3d1,b8680504,80e436ac,491054b3,00000055,004416d1,410054c4,41444215
85ffc51c,8096f5a3,4b0b76e4,8de0cc30,00000055,010930f1,05600065,04693094
430d42c6,6edc28f6,3d76e6af,fda8a694,00000055,2d506275,2d802245,00d04030
a391f2af,5972d102,9992757d,86292b50,00000055,98822178,82212355,1aa3022d
a40e7268,7d0ad20e,0173aaee,e67ce258,00000055,0100a033,c004a015,c1040026
9364a725,607f2cbd,059239ec,7c341313,00000055,011209dd,70100345,71020a98
91c345f7,6881c528,f759ec96,87b4c35e,00000055,f14080c3,8100800b,704000c8
e061c571,535bd60a,897311ac,163f53c8,00000055,8132117d,123a131d,93080260
f5f9db5e,e4110929,22551a00,2974875c,00000055,00401255,01608201,01209054
f8d5e38b,e7125956,2ed41f43,03282f16,00000055,0ec41a14,03002a41,0dc43055
3e22d7da,e76a16e7,499da942,3c8f96c2,00000055,49088155,18088055,51000100
f831dddc,0ed8f473,bd2c1710,42e338a0,00000055,b4280155,42e128f5,f6c929a0
5e04e32e,9e2fd791,b86c3a78,264c7998,00000055,8028306d,000830cd,802000a0
a8558b8b,a0e109a4,392f13a6,2e687d9e,00000055,08240273,0820005b,00040228
29413dad,3bb128fb,ff995821,f3a5ad23,00000055,12901055,12a00557,00301502
964b5c42,684a89b8,e6fc03f2,08784409,00000055,e60001a7,0800445d,ee0045fa
ec35befe,19d91dcb,53272fe1,51c82447,00000055,51242374,51c82050,00ec0324
e0726dab,be2f2bc6,8a38955f,e0e3b944,00000055,0a180418,40410011,4a590409
feadde69,89ec6732,3338baa1,419beef1,00000055,3300b854,4101a804,72011050
36587333,2e1a776e,31eb181f,43bc2018,00000055,10420048,0000004d,10420005
6ce791dc,6ce23a45,d0bc3389,d94bcf37,00000055,000423dc,00018b44,0005a898
a478bb77,038d4059,0b460560,0a8f72a5,00000055,03440175,02857271,01c17304
d4fed9d6,ad46bce8,7e9b9f7b,ae9fa3a1,00000055,7898056f,28982175,5000241a
148e46b3,f54b874d,3eb315b2,f1d79aae,00000055,208101e7,e1c580fb,c144811c
a0b8eca0,dbd12466,6d93dbce,170fd766,00000055,6901c893,1309c013,7a080880
ac12dbfb,9bdcdd4b,e24a0ed9,a512b7b9,00000055,224a06c5,250206e5,07480020
f1c87557,2835671d,7dd2eb38,1a7d7387,00000055,59d0025d,187d1257,41ad100a
65d0820e,21d4bc03,436afa54,9cf5a980,00000055,40003a51,04042855,44041204
baf03417,fc164a80,4f56045d,985d1790,00000055,46460440,004416c5,46021285
3a490686,6433d4bd,965b545a,43435ef7,00000055,165a504f,42425266,54180229
19ab1c31,721b0141,6e51d32c,c2f71b9e,00000055,6a101175,42b01945,28a00830
7d000315,3d26afd6,6e1ef2c9,697c4d05,00000055,4006a094,40240c54,0022acc0
965cabd1,28da635c,2392a6b8,24ff05f9,00000055,228280dd,248600dc,06048001
4b0bdf34,45e758c6,74415b8d,a153f48c,00000055,044003d5,004084d5,04008700
143376cb,948b91a1,e77e9094,fb33353a,00000055,80388055,8030257f,0008a52a
b4b87033,fed2e457,0a3eb316,47622e9c,00000055,0a2a9051,42620451,48489400
120e3411,f72fdba0,8197c103,5ebb0ee7,00000055,8101c154,44210ef4,c520cfa0
8024a4b3,00e451d7,44abfe17,ce43daa7,00000055,0080f451,8040d071,80c02420
a0d99674,84866cf8,6ed6b393,78c4dc17,00000055,2456b2d5,2044d851,04126a84
7f10bde4,a1277f7a,51edf34e,2abc06e8,00000055,5025c25b,0a3402dd,5a11c086
36f34fb4,684dd97d,074ef56a,86906d68,00000055,060e941d,0690041d,009e9000
ea011cb7,862fc84e,b1455c61,5b4ce015,00000055,20045434,480cc044,68089470
42c48651,9c3403e9,45e51fc1,0d410651,00000055,44e005d5,0c400445,48a00190
3a88a4d5,bb8e9928,cbcc497c,ace4bd74,00000055,81040929,80043d21,01003408
d3206260,59b90e77,23046177,6c329a76,00000055,02006042,08100843,0a106801
3f3769ed,5b95e9b4,41afbc53,0debce6d,00000055,40a28004,04a2801c,44000018
f75835da,030027ef,ed3478d5,069fb43c,00000055,e4101040,04181061,e0080021
6c66f7f7,697c0d56,eeffef9c,95c4fe9d,00000055,041aead5,0500fad4,011a1001
d2e0f94e,ecfe1801,1e9019e4,ad70b8bc,00000055,1e100111,2c10a059,3200a148
8218af98,43d41cfc,7898367f,836a41a3,00000055,40883231,81480175,c1c03344
ea64a561,d16710c9,d9086f37,688a6360,00000055,19002575,28022175,31020400
feeb73a3,d34d51a9,c873e6d1,e948a77f,00000055,08222255,2900225f,2122000a
