PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,3378b500,and,LOGICAL,"a6, a0, a1",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x65cd73f1,0x61187538,0x1abe3a83,0xed69b737,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc98,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x65cd73f1,0x61187538,0x1abe3a83,0xed69b737,0x298d108,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc9c,13152500,slli,SHIFT,"a0, a0, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x6755a2f9,0x61187538,0x1abe3a83,0xed69b737,0x298d108,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca0,13172700,slli,SHIFT,"a4, a4, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2a7bd420,0xc2b9d30f,0x6755a2f9,0x61187538,0x1abe3a83,0xed69b737,0x298d108,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca4,3378e500,and,LOGICAL,"a6, a0, a4",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2a7bd420,0xc2b9d30f,0x6755a2f9,0x61187538,0x6af8ea0c,0xed69b737,0x298d108,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca8,13552500,srli,SHIFT,"a0, a0, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2a7bd420,0xc2b9d30f,0x6755a2f9,0x61187538,0x6af8ea0c,0xed69b737,0x2a78c000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcac,13572700,srli,SHIFT,"a4, a4, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x6755a2f9,0x61187538,0x6af8ea0c,0xed69b737,0x2a78c000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb0,13162600,slli,SHIFT,"a2, a2, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x6755a2f9,0x61187538,0x1abe3a83,0xed69b737,0x2a78c000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb4,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x9d568be4,0x61187538,0x1abe3a83,0xed69b737,0x2a78c000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb8,13562600,srli,SHIFT,"a2, a2, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0xb72e4be4,0x61187538,0x1abe3a83,0xed69b737,0x2a78c000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcbc,33f8e600,and,LOGICAL,"a6, a3, a4",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x2dcb92f9,0x61187538,0x1abe3a83,0xed69b737,0x2a78c000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc0,b3c70701,xor,LOGICAL,"a5, a5, a6",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x2dcb92f9,0x61187538,0x1abe3a83,0xed69b737,0x183000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc4,93962600,slli,SHIFT,"a3, a3, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x2dcb92f9,0x61187538,0x1abe3a83,0xed718737,0x183000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc8,93952500,slli,SHIFT,"a1, a1, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xc2b9d30f,0x2dcb92f9,0x8461d4e0,0x1abe3a83,0xed718737,0x183000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xccc,33f8b600,and,LOGICAL,"a6, a3, a1",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xae74c3c,0x2dcb92f9,0x8461d4e0,0x1abe3a83,0xed718737,0x183000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcd0,93d62600,srli,SHIFT,"a3, a3, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa9ef508,0xae74c3c,0x2dcb92f9,0x8461d4e0,0x1abe3a83,0xed718737,0x614420,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
