PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,b378b500,and,LOGICAL,"a7, a0, a1",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xeb9ff0d9,0xd06678ed,0xc9357f7,0x38e3faf6,0xdc7d85ac,0x736592de,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc98,33461601,xor,LOGICAL,"a2, a2, a7",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xeb9ff0d9,0xd06678ed,0xc9357f7,0x38e3faf6,0xdc7d85ac,0x736592de,0x0,0xc00670c9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc9c,13152500,slli,SHIFT,"a0, a0, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xeb9ff0d9,0xd06678ed,0xcc95273e,0x38e3faf6,0xdc7d85ac,0x736592de,0x0,0xc00670c9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca0,13172700,slli,SHIFT,"a4, a4, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xae7fc364,0xd06678ed,0xcc95273e,0x38e3faf6,0xdc7d85ac,0x736592de,0x0,0xc00670c9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca4,b378e500,and,LOGICAL,"a7, a0, a4",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xae7fc364,0xd06678ed,0xcc95273e,0x38e3faf6,0x71f616b0,0x736592de,0x0,0xc00670c9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca8,13552500,srli,SHIFT,"a0, a0, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xae7fc364,0xd06678ed,0xcc95273e,0x38e3faf6,0x71f616b0,0x736592de,0x0,0x20760220,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcac,13572700,srli,SHIFT,"a4, a4, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b9ff0d9,0xd06678ed,0xcc95273e,0x38e3faf6,0x71f616b0,0x736592de,0x0,0x20760220,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb0,13162600,slli,SHIFT,"a2, a2, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b9ff0d9,0xd06678ed,0xcc95273e,0x38e3faf6,0x1c7d85ac,0x736592de,0x0,0x20760220,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb4,33461601,xor,LOGICAL,"a2, a2, a7",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b9ff0d9,0xd06678ed,0x32549cf8,0x38e3faf6,0x1c7d85ac,0x736592de,0x0,0x20760220,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb8,13562600,srli,SHIFT,"a2, a2, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b9ff0d9,0xd06678ed,0x12229ed8,0x38e3faf6,0x1c7d85ac,0x736592de,0x0,0x20760220,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcbc,b3f8e600,and,LOGICAL,"a7, a3, a4",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b9ff0d9,0xd06678ed,0x488a7b6,0x38e3faf6,0x1c7d85ac,0x736592de,0x0,0x20760220,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc0,b3c71701,xor,LOGICAL,"a5, a5, a7",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b9ff0d9,0xd06678ed,0x488a7b6,0x38e3faf6,0x1c7d85ac,0x736592de,0x0,0x186180a4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc4,93962600,slli,SHIFT,"a3, a3, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b9ff0d9,0xd06678ed,0x488a7b6,0x38e3faf6,0x1c7d85ac,0x6b04127a,0x0,0x186180a4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc8,93952500,slli,SHIFT,"a1, a1, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2b9ff0d9,0xd06678ed,0x488a7b6,0xe38febd8,0x1c7d85ac,0x6b04127a,0x0,0x186180a4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
