a0,b0,c0,a1,b1,c1,x12,x15
c93f8e00,52ae5d51,15434e8f,1cadd90f,7bd387e4,8f958eb5,1c7ec48f,87b856b0
473c087f,a047ef4c,1375d279,e0278fbd,9ce2f693,32c25612,1751da26,12e75f8f
0b5e8b74,d1f14197,17b84401,6e0f899c,c9051763,cdd6a96a,1fec4675,c5d2a9fe
5608636e,a779d1de,53a7d45a,17b1ad9f,048105fd,62deb24f,51af9478,616e364c
020827cd,df9ca49a,579ffdae,5f7bc337,bd377cac,d86e9b0f,5597fdaa,9a455b39
019094d7,81ad4821,a25aaef9,4a2d5bc8,b1bf9165,cdbe572c,a24a3ebd,cdbe0e6c
eb594686,c13328a2,fb0be17f,92f96977,914b4832,330a3324,bb53a1ff,23725334
93610f01,fc98f324,6d7ef670,9a9c9035,008d3df9,3adc5900,fd7ff871,a2c8d915
c844f78d,7a66a57d,30ddb4e1,8397588f,cdbc5a05,99a395a1,b09d43e9,1a31cda9
9f5ac417,2e1977f1,a0146ab9,a0906e86,103c95cd,0cef4b61,be14aaad,2cef2965
f7f64db4,5e5c59d6,74b94f6d,8b566a9a,03c35c17,9ab309e3,212f4aed,93a50963
cd4ee642,be7c63b6,b1672137,0e06c637,84d2807d,9eee8790,b969c375,94e84593
89dbcad1,9d03a230,8e03863e,4e55d943,15814ad5,d742fbea,06814eff,df4233ab
2bb3bd06,0afb16d6,907dc892,1f4babb1,ee7cf1c3,42463ac0,b0fe6d96,464599d1
16efcb1b,d52e9683,dc59022e,94391f35,fbd5def2,14b354b4,dab24a3f,108a5c85
545566e3,903ededf,702dc7b4,256c0c75,95bdb7bd,4e1cae2f,742ca7d6,4b1ca64f
40933610,efbce418,c15256ca,d24aa265,2d7ced60,692731ee,81d256da,ab67318e
618ba852,6c511e16,913b87f2,d2524779,9822b2df,7b597bf5,f1382fb2,ab0b7fbc
f21f584a,074c557b,44674928,0e2f5223,67a86105,5dc882be,24635962,5dec929c
3459cab6,3abe029a,4b5bd30c,e6273e52,aebd8d9f,ace692d8,5f5a5908,28e59cd8
3dc76ce7,2298784e,e4821e97,ab2dfed2,ba2c0465,3b88e1d4,fc0672b4,b3ac9dd6
561fc818,d04d7909,ea1ecbfb,9f346b29,dc940759,8f7c91b5,ee0783eb,836cfbb5
0d624ec3,1f59f988,c06166a2,b46500a8,2214d32e,4de500ac,cd216c20,79a0000c
1ea75c3b,37761e06,6efeb38f,391fcd89,744dd310,8dc0d72d,6cddff9d,8cdb1a2d
580f89ee,56f4b85c,e2db2b14,208b35e0,4ba6749b,32e3b1c9,fad9a3d2,32e1b509
0be542d8,2906ab07,05871f8e,6d65aad0,f5535626,b16c90e0,0dc25f8e,fd2938e0
0d678f33,fd04e40a,c650477b,e6e20f1e,75e887f5,bdac53ae,ce344448,3d4c50b0
b234b575,eccfbd18,b961cd96,9bbc5e11,9477db94,d8082e11,8951e992,c0b06811
49f05a5c,14d08e9f,10371978,81647b41,97fb1cbf,82d8a0b6,11170b78,03f8b2b6
66d04737,0d8b7998,1779f91e,1e8d5305,359b1374,7cdce9b9,3769bb3a,64dcabbd
dae3cd5e,af836716,c052dfed,2981ddb9,d3adeb31,73e1083a,987053eb,5be1841b
e10fd816,1fb499fa,f5d6f639,2e16c0fb,1f036088,bb2375c5,f5d12e2b,bb35b5b7
91f06535,7da44137,590dff23,b29dbd1a,0ddf190e,1adadf9b,497dbf12,2ac3c783
0a9ef508,c2b9d30f,65cd73f1,61187538,1abe3a83,ed69b737,6dcb92f9,ad69d63f
09a2a8e0,cff83bf0,b5990540,ee587816,8349030a,7b19dc77,bd392da0,3709e465
a3d7966c,362155f2,1ff12134,6347511d,a580b2c0,87f1ca5c,9c70a714,84f08b4c
76c918d8,1ba4991e,1244c21f,3a9a8e09,146eae5e,6f06685c,148cd25f,658c6e5c
0089a6a2,ab5542b0,ce3b01cf,dcef186a,4ecbec4e,50c493b6,ceb3a76d,944a9bdc
37d902e4,7da5c12a,c44ac370,d5bd6924,ed0c60e6,e7d43f7a,d4c3c3b4,777d1e7e
ed59667f,198d3bf5,f96c12fd,91183143,f75f327e,c43d4978,153c12f6,442d487b
752a1ccf,37ca17d2,6f06b432,267626e8,1afcc29b,f77ed840,4a24a07b,d348dc08
575123b8,a659600a,873d01a8,6b5705ce,ea95bc99,00c78276,c37d0138,488386f4
a4fff0aa,72404e38,80df4b64,c156ea81,29760c6f,a9254e28,80e90b66,e8330c29
6774dfb0,f42fb1da,09d3370e,9e3414ea,bc69c0c8,caf7aabe,4997661e,c2f3babc
ae0133f3,2a8226eb,fa67e713,faeadf59,5e364fc6,1198d86b,de67c632,61389162
a407003f,b6068f6f,9713b3dc,4463d542,2c5e4dca,dcf9ba72,1713b3f9,dcb97a72
a60ff9c5,13e452ea,2c009fd5,6c548986,58773472,56fedcbb,2e03ff55,1eeedc3b
75843a1d,062fabb8,a3e67ee5,2c2f993b,8435e6ec,efcc1c1e,a3e676f1,efc6150e
cb9ddcc8,dd532ae6,aaf60a05,773fb32f,1080c207,15e3dfbc,6367c2c5,50f07f9d
6b603f59,d9abf23f,2b0e7110,f5814f29,3ceee6b1,f065c638,4a4e6518,1564c230
a42485be,1c86f4ed,4d12570d,dee5ffae,0b5f0c14,51194896,4912d7b5,47d8b03e
39dd0fe5,2e6969b1,816b5cc0,de335019,2a5f6824,a024e6a5,817f5d45,a416e6b4
82d300d0,ae61a302,978a5f12,cc3fbdc2,bcf6993a,df1d8fc3,95195f02,df0ab7c3
f9f30557,b5381168,8647c163,aee6426c,84672fca,93ad80a7,b714c561,b3eb8287
0ac0f965,4f858fb9,a2321242,a1b155bd,25e8d730,09b07062,a8724a43,299120eb
b1fcea1d,177470b6,8a1b019e,2e643cac,9a3f1cff,a537aaeb,0b536997,a97786e3
974d7865,98aff95e,ce3ef44f,59320d6d,d9a397db,2f9b1b6e,cf329c4a,6e9b176b
d2660012,830be2e2,e3816765,a680e800,29335383,d1e63dff,61a16765,73e69dff
